Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,MO,Ste. Genevieve County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,515,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,29186,"(37.895567, -90.201516)"
2014,KS,Doniphan County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,445,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,20043,"(39.78597, -95.144781)"
2014,TX,Victoria County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,429.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,48469,"(28.795155, -96.973428)"
2014,NC,Warren County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,433.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,37185,"(36.396823, -78.111442)"
2014,MS,Lawrence County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,594.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,28077,"(31.555561, -90.107464)"
2014,PA,Snyder County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,387,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,42109,"(40.771689, -77.073699)"
2014,GA,Camden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,472.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,13039,"(30.931133, -81.680704)"
2014,OK,Coal County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,827.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,40029,"(34.594034, -96.29397)"
2014,OK,Pushmataha County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,657.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,40127,"(34.420189, -95.372661)"
2014,DC,District of Columbia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,277.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,11,"(38.9005, -77.0159)"
2014,GA,Evans County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,561.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,13109,"(32.154853, -81.88447)"
